Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method
1,Allsopps 500ML,B,Bottles,220,220,2, No Tax, exclusive
2,Balozi 500ML,B,Bottles,250,250,2, No Tax, exclusive
3,Guinness  500ML,B,Bottles,250,250,2, No Tax, exclusive
6,Guinness Smooth 500ML,B,Bottles,250,250,2, No Tax, exclusive
8,Pilsner CAN 500ML,B,Bottles,260,260,2, No Tax, exclusive
9,Sikera CIDER 300ml,B,Bottles,220,220,2, No Tax, exclusive
10,Tusker Lager 500ml,B,Bottles,250,250,2, No Tax, exclusive
12,Tusker Cider 500ml,B,Bottles,250,250,2, No Tax, exclusive
13,Tusker Lite 330ML,B,Bottles,250,250,2, No Tax, exclusive
14,Tusker Malt Lager 330ml,B,Bottles,250,250,2, No Tax, exclusive
15,Whitecap 500ML,B,Bottles,250,250,2, No Tax, exclusive
16,Whitecap Light 300ML,B,Bottles,240,240,2, No Tax, exclusive
17,Heineken 330ML,B,Bottles,250,250,2, No Tax, exclusive
18,Savana 330ML,B,Bottles,250,250,2, No Tax, exclusive
19,Faxe 500ML,B,Bottles,280,280,2, No Tax, exclusive
20,Balozi can 500ML,B,Bottles,260,260,2, No Tax, exclusive
21,Guinness Cans 500ML,B,Bottles,280,280,2, No Tax, exclusive
22,Guinness Smooth Cans 500ML,B,Bottles,260,260,2, No Tax, exclusive
23,Hop House 13 can 500ML,B,Bottles,250,250,2, No Tax, exclusive
25,Sikera CIDER CANS 330ml,B,Bottles,250,250,2, No Tax, exclusive
26,Tusker Cans 500ML,B,Bottles,260,260,2, No Tax, exclusive
28,Tusker Cider Can 500ML,B,Bottles,260,260,2, No Tax, exclusive
29,Tusker Lite Can 500ML,B,Bottles,260,260,2, No Tax, exclusive
30,Tusker Malt Lager Can 500ML,B,Bottles,260,260,2, No Tax, exclusive
31,WHITE CAP CAN 500ML,B,Bottles,260,260,2, No Tax, exclusive
32,Heineken Can 500ML,B,Bottles,300,300,2, No Tax, exclusive
34,Alvaro Can,B,Bottles,150,150,2, No Tax, exclusive
35,Gilbeys Gin 350ml,B,Bottles,1000,1000,2, No Tax, exclusive
36,Gilbeys Gin 750ml,B,Bottles,1800,1800,2, No Tax, exclusive
40,Gordons Dry Gin,B,Bottles,2200,2200,2, No Tax, exclusive
41,Tanqueray Dry Gin 750,B,Bottles,4000,4000,2, No Tax, exclusive
42,Tanqueray 10 750ml,B,Bottles,6000,6000,2, No Tax, exclusive
44,Tanqueray sevilla 700ml,B,Bottles,4000,4000,2, No Tax, exclusive
45,Chrome Gin 750ml,B,Bottles,0,0,2, No Tax, exclusive
46,Richot Brandy 350ml,B,Bottles,1000,1000,2, No Tax, exclusive
47,Richot Brandy 750ml,B,Bottles,2200,2200,2, No Tax, exclusive
48,Smirnoff Red Vodka 350ml,B,Bottles,1000,1000,2, No Tax, exclusive
49,Smirnoff Citrus 700ml,B,Bottles,3000,3000,2, No Tax, exclusive
50,Smirnoff Orange 700ml,B,Bottles,3000,3000,2, No Tax, exclusive
51,Smirnoff Espresso 700ml,B,Bottles,3000,3000,2, No Tax, exclusive
52,Smirnoff Gold Liq 700ml,B,Bottles,3000,3000,2, No Tax, exclusive
53,Smirnoff Vanilla 700ml,B,Bottles,3000,3000,2, No Tax, exclusive
55,Smirnoff red   Vodka 750ml,B,Bottles,2200,2200,2, No Tax, exclusive
63,Bond 7 Whisky 350ml,B,Bottles,900,900,2, No Tax, exclusive
64,VAT 69 375ml,B,Bottles,1200,1200,2, No Tax, exclusive
65,J&B HONEY 700ml,B,Bottles,4000,4000,2, No Tax, exclusive
66,Bond 7 Whisky 750ml,B,Bottles,2000,2000,2, No Tax, exclusive
69,J&B RARE 750ml,B,Bottles,2500,2500,2, No Tax, exclusive
70,JW Red Label 750ml,B,Bottles,2500,2500,2, No Tax, exclusive
73,JW Red Label 1ltr,B,Bottles,3200,3200,2, No Tax, exclusive
74,JW Red Label Cradle 3ltr,B,Bottles,13000,13000,2, No Tax, exclusive
75,JW Red Label 4.5ltr,B,Bottles,17000,17000,2, No Tax, exclusive
